loan_id,fico,ltv,quarter,quarter_num,risk_segment,loan_amount,purpose
LN000067,615,97,2023-Q1,1,Subprime,422662,Purchase
LN000284,650,94,2023-Q1,1,Subprime,411459,Purchase
LN000304,650,74,2023-Q1,1,Subprime,465562,Purchase
LN000097,666,94,2023-Q1,1,Subprime,185889,Purchase
LN000197,669,81,2023-Q1,1,Subprime,361796,Purchase
LN000145,673,77,2023-Q1,1,Subprime,141920,Refinance
LN000196,682,90,2023-Q1,1,Near Prime,375089,Refinance
LN000085,683,89,2023-Q1,1,Near Prime,483423,Purchase
LN000488,685,82,2023-Q1,1,Near Prime,342356,Refinance
LN000020,686,92,2023-Q1,1,Near Prime,206783,Purchase
LN000069,689,104,2023-Q1,1,Near Prime,361855,Refinance
LN000266,690,104,2023-Q1,1,Near Prime,314891,Purchase
LN000035,695,86,2023-Q1,1,Near Prime,213441,Purchase
LN000146,698,87,2023-Q1,1,Near Prime,189867,Purchase
LN000079,702,93,2023-Q1,1,Near Prime,280066,Purchase
LN000258,702,76,2023-Q1,1,Near Prime,238241,Purchase
LN000369,703,89,2023-Q1,1,Near Prime,504682,Refinance
LN000441,703,94,2023-Q1,1,Near Prime,463134,Purchase
LN000357,706,63,2023-Q1,1,Near Prime,128473,Purchase
LN000483,706,79,2023-Q1,1,Near Prime,388546,Purchase
LN000473,711,103,2023-Q1,1,Near Prime,292613,Purchase
LN000262,717,65,2023-Q1,1,Near Prime,148915,Purchase
LN000462,719,80,2023-Q1,1,Near Prime,602058,Refinance
LN000517,723,84,2023-Q1,1,Prime,396811,Refinance
LN000048,724,98,2023-Q1,1,Prime,92000,Refinance
LN000311,728,82,2023-Q1,1,Prime,92000,Purchase
LN000331,731,89,2023-Q1,1,Prime,303643,Purchase
LN000374,733,80,2023-Q1,1,Prime,264587,Purchase
LN000124,740,83,2023-Q1,1,Prime,327113,Purchase
LN000393,740,79,2023-Q1,1,Prime,287529,Refinance
LN000417,742,89,2023-Q1,1,Prime,392771,Purchase
LN000372,746,90,2023-Q1,1,Prime,346543,Purchase
LN000123,747,90,2023-Q1,1,Prime,320570,Refinance
LN000399,751,82,2023-Q1,1,Prime,245536,Purchase
LN000291,763,99,2023-Q1,1,Super Prime,401874,Purchase
LN000239,778,72,2023-Q1,1,Super Prime,308854,Refinance
LN000419,784,104,2023-Q1,1,Super Prime,389239,Purchase
LN000339,793,92,2023-Q1,1,Super Prime,230957,Purchase
LN000452,797,71,2023-Q1,1,Super Prime,250862,Purchase
LN000012,800,70,2023-Q1,1,Super Prime,223613,Purchase
LN000434,807,62,2023-Q1,1,Super Prime,92000,Refinance
LN000299,589,71,2023-Q2,2,Subprime,276408,Refinance
LN000295,602,71,2023-Q2,2,Subprime,354922,Refinance
LN000108,642,90,2023-Q2,2,Subprime,262684,Purchase
LN000508,647,93,2023-Q2,2,Subprime,559367,Purchase
LN000250,650,84,2023-Q2,2,Subprime,197548,Refinance
LN000064,651,89,2023-Q2,2,Subprime,500778,Refinance
LN000468,651,77,2023-Q2,2,Subprime,215686,Purchase
LN000160,654,75,2023-Q2,2,Subprime,431621,Refinance
LN000290,662,92,2023-Q2,2,Subprime,470786,Refinance
LN000264,672,100,2023-Q2,2,Subprime,540661,Purchase
LN000127,679,102,2023-Q2,2,Subprime,177625,Purchase
LN000447,679,83,2023-Q2,2,Subprime,379507,Purchase
LN000455,681,76,2023-Q2,2,Near Prime,477102,Purchase
LN000234,688,89,2023-Q2,2,Near Prime,354442,Purchase
LN000368,690,90,2023-Q2,2,Near Prime,202685,Purchase
LN000230,691,104,2023-Q2,2,Near Prime,121420,Purchase
LN000156,693,67,2023-Q2,2,Near Prime,198821,Purchase
LN000276,702,83,2023-Q2,2,Near Prime,282011,Refinance
LN000017,704,79,2023-Q2,2,Near Prime,140746,Refinance
LN000190,705,72,2023-Q2,2,Near Prime,299538,Purchase
LN000520,707,87,2023-Q2,2,Near Prime,298836,Purchase
LN000472,711,74,2023-Q2,2,Near Prime,234012,Refinance
LN000267,714,86,2023-Q2,2,Near Prime,182396,Refinance
LN000150,718,92,2023-Q2,2,Near Prime,159158,Purchase
LN000491,719,100,2023-Q2,2,Near Prime,322907,Refinance
LN000338,727,60,2023-Q2,2,Prime,260162,Refinance
LN000487,727,96,2023-Q2,2,Prime,148200,Refinance
LN000021,728,90,2023-Q2,2,Prime,233129,Purchase
LN000518,728,84,2023-Q2,2,Prime,96327,Purchase
LN000519,728,83,2023-Q2,2,Prime,365461,Purchase
LN000063,732,104,2023-Q2,2,Prime,334782,Purchase
LN000307,732,72,2023-Q2,2,Prime,283478,Purchase
LN000238,734,76,2023-Q2,2,Prime,270230,Purchase
LN000405,737,82,2023-Q2,2,Prime,344534,Purchase
LN000109,742,78,2023-Q2,2,Prime,322065,Refinance
LN000030,746,101,2023-Q2,2,Prime,399862,Refinance
LN000363,750,84,2023-Q2,2,Prime,317872,Refinance
LN000478,751,70,2023-Q2,2,Prime,427146,Purchase
LN000407,761,83,2023-Q2,2,Super Prime,145203,Purchase
LN000343,764,101,2023-Q2,2,Super Prime,361071,Refinance
LN000456,764,70,2023-Q2,2,Super Prime,321911,Purchase
LN000207,767,88,2023-Q2,2,Super Prime,268170,Purchase
LN000011,774,80,2023-Q2,2,Super Prime,492044,Purchase
LN000059,778,88,2023-Q2,2,Super Prime,358717,Purchase
LN000261,790,70,2023-Q2,2,Super Prime,158091,Purchase
LN000470,807,81,2023-Q2,2,Super Prime,310708,Purchase
LN000077,808,96,2023-Q2,2,Super Prime,286976,Purchase
LN000128,809,78,2023-Q2,2,Super Prime,187261,Purchase
LN000370,814,81,2023-Q2,2,Super Prime,269128,Purchase
LN000346,818,79,2023-Q2,2,Super Prime,385357,Purchase
LN000367,820,71,2023-Q2,2,Super Prime,326729,Purchase
LN000495,821,87,2023-Q2,2,Super Prime,287340,Refinance
LN000383,616,87,2023-Q3,3,Subprime,259752,Purchase
LN000479,617,81,2023-Q3,3,Subprime,539122,Purchase
LN000492,642,101,2023-Q3,3,Subprime,279105,Refinance
LN000316,646,73,2023-Q3,3,Subprime,265157,Refinance
LN000071,653,83,2023-Q3,3,Subprime,405738,Purchase
LN000449,654,94,2023-Q3,3,Subprime,459433,Refinance
LN000323,656,99,2023-Q3,3,Subprime,484824,Purchase
LN000008,658,104,2023-Q3,3,Subprime,424241,Purchase
LN000319,659,104,2023-Q3,3,Subprime,320064,Purchase
LN000420,663,94,2023-Q3,3,Subprime,155604,Purchase
LN000049,664,71,2023-Q3,3,Subprime,186010,Refinance
LN000098,665,73,2023-Q3,3,Subprime,298990,Purchase
LN000409,666,65,2023-Q3,3,Subprime,382270,Refinance
LN000352,668,84,2023-Q3,3,Subprime,241036,Purchase
LN000280,671,85,2023-Q3,3,Subprime,217488,Purchase
LN000126,673,75,2023-Q3,3,Subprime,313590,Refinance
LN000402,678,94,2023-Q3,3,Subprime,397993,Refinance
LN000457,687,65,2023-Q3,3,Near Prime,438178,Purchase
LN000082,689,90,2023-Q3,3,Near Prime,309685,Refinance
LN000026,691,72,2023-Q3,3,Near Prime,180254,Refinance
LN000392,692,82,2023-Q3,3,Near Prime,381489,Refinance
LN000515,694,54,2023-Q3,3,Near Prime,301393,Purchase
LN000360,695,84,2023-Q3,3,Near Prime,272323,Refinance
LN000439,695,91,2023-Q3,3,Near Prime,379693,Purchase
LN000390,697,104,2023-Q3,3,Near Prime,211830,Refinance
LN000178,698,74,2023-Q3,3,Near Prime,264844,Purchase
LN000112,699,82,2023-Q3,3,Near Prime,434149,Refinance
LN000361,699,100,2023-Q3,3,Near Prime,383623,Purchase
LN000034,700,84,2023-Q3,3,Near Prime,196372,Refinance
LN000322,700,81,2023-Q3,3,Near Prime,169964,Purchase
LN000365,706,78,2023-Q3,3,Near Prime,496810,Refinance
LN000297,707,73,2023-Q3,3,Near Prime,239051,Refinance
LN000432,708,70,2023-Q3,3,Near Prime,481533,Purchase
LN000003,709,83,2023-Q3,3,Near Prime,250809,Refinance
LN000018,712,78,2023-Q3,3,Near Prime,426497,Purchase
LN000191,712,78,2023-Q3,3,Near Prime,318439,Refinance
LN000272,713,102,2023-Q3,3,Near Prime,469725,Refinance
LN000485,713,96,2023-Q3,3,Near Prime,274478,Purchase
LN000014,715,79,2023-Q3,3,Near Prime,202138,Refinance
LN000329,716,70,2023-Q3,3,Near Prime,284121,Purchase
LN000182,718,94,2023-Q3,3,Near Prime,461778,Refinance
LN000170,719,88,2023-Q3,3,Near Prime,144022,Purchase
